window_seconds,variant,decoder,room,support,precision_weighted,recall_weighted,f1_weighted,n_folds
3,M5,causal_smoothing,522,101.0,0.9387081565299387,0.7326732673267327,0.8086222224030498,2.0
3,M5,causal_smoothing,523,226.0,0.7069495593543305,0.7920353982300885,0.7267193309632072,4.0
3,M5,causal_smoothing,cafeteria,1875.0,0.5307495863538896,0.3168,0.3590950877310491,4.0
3,M5,causal_smoothing,cleaning,297.0,0.325645772862886,0.6599326599326599,0.43299795889383447,4.0
3,M5,causal_smoothing,hallway,356.0,0.17376759476478576,0.025280898876404494,0.023335329234715832,3.0
3,M5,causal_smoothing,kitchen,2128.0,0.6217661136424513,0.7213345864661654,0.6551007860045543,4.0
3,M5,causal_smoothing,nurse station,3424.0,0.8565913576484603,0.7774532710280374,0.8087664302903066,4.0
3,M5,fixed_decoder,501,31.0,0.6421658986175116,0.8064516129032258,0.6530545679898235,2.0
3,M5,fixed_decoder,502,37.0,0.02702702702702703,0.10810810810810811,0.043243243243243246,2.0
3,M5,fixed_decoder,505,13.0,0.0,0.0,0.0,2.0
3,M5,fixed_decoder,506,121.0,0.8494384403475312,0.9504132231404959,0.8810572631775568,3.0
3,M5,fixed_decoder,508,24.0,0.5416666666666666,0.16666666666666666,0.2549019607843137,2.0
3,M5,fixed_decoder,511,69.0,0.7536231884057971,0.6231884057971014,0.6819842111464592,3.0
3,M5,fixed_decoder,512,134.0,0.8896653098145636,0.8134328358208955,0.846802677084903,2.0
3,M5,fixed_decoder,513,124.0,0.3439068100358423,0.28225806451612906,0.24205162033595956,3.0
3,M5,fixed_decoder,515,110.0,0.7833766233766233,0.5272727272727272,0.6263132216620588,2.0
3,M5,fixed_decoder,516,9.0,0.0,0.0,0.0,2.0
3,M5,fixed_decoder,517,13.0,0.020512820512820513,0.15384615384615385,0.03619909502262443,3.0
3,M5,fixed_decoder,518,15.0,0.0,0.0,0.0,3.0
3,M5,fixed_decoder,520,144.0,0.6406683884845021,0.9722222222222222,0.7396079517586307,4.0
3,M5,fixed_decoder,522,101.0,0.953407105416424,0.6237623762376238,0.7370888813019234,2.0
3,M5,fixed_decoder,523,226.0,0.6884517674517403,0.8230088495575221,0.7220326401917687,4.0
3,M5,fixed_decoder,cafeteria,1875.0,0.5922213304847413,0.3194666666666667,0.36457430407412866,4.0
3,M5,fixed_decoder,cleaning,297.0,0.38151528530734696,0.6127946127946128,0.4647903934093022,4.0
3,M5,fixed_decoder,hallway,356.0,0.0013167134831460674,0.014044943820224719,0.002407704654895666,3.0
3,M5,fixed_decoder,kitchen,2128.0,0.6314020457439056,0.7528195488721805,0.6762205847563071,4.0
3,M5,fixed_decoder,nurse station,3424.0,0.8432527892518069,0.856892523364486,0.8464896688974254,4.0
3,M5,raw,501,31.0,0.7381404174573055,0.6774193548387096,0.6460101867572157,2.0
3,M5,raw,502,37.0,0.8321867321867321,0.32432432432432434,0.4165933375235701,2.0
3,M5,raw,505,13.0,0.0,0.0,0.0,2.0
3,M5,raw,506,121.0,0.43253328504709615,0.6611570247933884,0.5168042109965895,3.0
3,M5,raw,508,24.0,0.03263052208835341,0.20833333333333334,0.05642361111111111,2.0
3,M5,raw,511,69.0,0.3482681317293423,0.4057971014492754,0.3747042295178941,3.0
3,M5,raw,512,134.0,0.7504717790358552,0.7388059701492538,0.7411362636212582,2.0
3,M5,raw,513,124.0,0.298607664736697,0.2661290322580645,0.2468959357936723,3.0
3,M5,raw,515,110.0,0.6201058201058202,0.4,0.4839829675728791,2.0
3,M5,raw,516,9.0,0.057971014492753624,0.3333333333333333,0.09876543209876543,2.0
