window_seconds,variant,test_day,decoder,true_room,pred_room,count
1,M2,2023-04-10,causal_smoothing,hallway,520,58
1,M2,2023-04-10,causal_smoothing,hallway,523,59
1,M2,2023-04-10,causal_smoothing,hallway,cafeteria,0
1,M2,2023-04-10,causal_smoothing,hallway,cleaning,7
1,M2,2023-04-10,causal_smoothing,hallway,hallway,2
1,M2,2023-04-10,causal_smoothing,hallway,kitchen,6
1,M2,2023-04-10,causal_smoothing,hallway,nurse station,125
1,M2,2023-04-10,causal_smoothing,kitchen,501,0
1,M2,2023-04-10,causal_smoothing,kitchen,506,0
1,M2,2023-04-10,causal_smoothing,kitchen,508,6
1,M2,2023-04-10,causal_smoothing,kitchen,511,8
1,M2,2023-04-10,causal_smoothing,kitchen,516,0
1,M2,2023-04-10,causal_smoothing,kitchen,520,1
1,M2,2023-04-10,causal_smoothing,kitchen,523,20
1,M2,2023-04-10,causal_smoothing,kitchen,cafeteria,40
1,M2,2023-04-10,causal_smoothing,kitchen,cleaning,3
1,M2,2023-04-10,causal_smoothing,kitchen,hallway,0
1,M2,2023-04-10,causal_smoothing,kitchen,kitchen,914
1,M2,2023-04-10,causal_smoothing,kitchen,nurse station,29
1,M2,2023-04-10,causal_smoothing,nurse station,501,0
1,M2,2023-04-10,causal_smoothing,nurse station,506,18
1,M2,2023-04-10,causal_smoothing,nurse station,508,63
1,M2,2023-04-10,causal_smoothing,nurse station,511,51
1,M2,2023-04-10,causal_smoothing,nurse station,516,0
1,M2,2023-04-10,causal_smoothing,nurse station,520,14
1,M2,2023-04-10,causal_smoothing,nurse station,523,4
1,M2,2023-04-10,causal_smoothing,nurse station,cafeteria,54
1,M2,2023-04-10,causal_smoothing,nurse station,cleaning,11
1,M2,2023-04-10,causal_smoothing,nurse station,hallway,7
1,M2,2023-04-10,causal_smoothing,nurse station,kitchen,248
1,M2,2023-04-10,causal_smoothing,nurse station,nurse station,2995
1,M2,2023-04-10,fixed_decoder,501,501,42
1,M2,2023-04-10,fixed_decoder,501,506,0
1,M2,2023-04-10,fixed_decoder,501,508,0
1,M2,2023-04-10,fixed_decoder,501,511,0
1,M2,2023-04-10,fixed_decoder,501,516,2
1,M2,2023-04-10,fixed_decoder,501,520,0
1,M2,2023-04-10,fixed_decoder,501,523,0
1,M2,2023-04-10,fixed_decoder,501,cafeteria,0
1,M2,2023-04-10,fixed_decoder,501,cleaning,0
1,M2,2023-04-10,fixed_decoder,501,hallway,0
1,M2,2023-04-10,fixed_decoder,501,kitchen,0
1,M2,2023-04-10,fixed_decoder,501,nurse station,6
1,M2,2023-04-10,fixed_decoder,506,501,0
1,M2,2023-04-10,fixed_decoder,506,506,55
1,M2,2023-04-10,fixed_decoder,506,508,0
1,M2,2023-04-10,fixed_decoder,506,511,0
1,M2,2023-04-10,fixed_decoder,506,516,0
1,M2,2023-04-10,fixed_decoder,506,520,0
1,M2,2023-04-10,fixed_decoder,506,523,0
1,M2,2023-04-10,fixed_decoder,506,cafeteria,0
1,M2,2023-04-10,fixed_decoder,506,cleaning,10
1,M2,2023-04-10,fixed_decoder,506,hallway,0
1,M2,2023-04-10,fixed_decoder,506,kitchen,0
1,M2,2023-04-10,fixed_decoder,506,nurse station,0
1,M2,2023-04-10,fixed_decoder,508,501,0
1,M2,2023-04-10,fixed_decoder,508,506,0
1,M2,2023-04-10,fixed_decoder,508,508,4
1,M2,2023-04-10,fixed_decoder,508,511,0
1,M2,2023-04-10,fixed_decoder,508,516,0
1,M2,2023-04-10,fixed_decoder,508,520,2
1,M2,2023-04-10,fixed_decoder,508,523,0
1,M2,2023-04-10,fixed_decoder,508,cafeteria,0
1,M2,2023-04-10,fixed_decoder,508,cleaning,0
1,M2,2023-04-10,fixed_decoder,508,hallway,0
1,M2,2023-04-10,fixed_decoder,508,kitchen,0
1,M2,2023-04-10,fixed_decoder,508,nurse station,11
1,M2,2023-04-10,fixed_decoder,511,501,0
1,M2,2023-04-10,fixed_decoder,511,506,0
1,M2,2023-04-10,fixed_decoder,511,508,0
1,M2,2023-04-10,fixed_decoder,511,511,0
1,M2,2023-04-10,fixed_decoder,511,516,0
1,M2,2023-04-10,fixed_decoder,511,520,0
1,M2,2023-04-10,fixed_decoder,511,523,0
1,M2,2023-04-10,fixed_decoder,511,cafeteria,0
1,M2,2023-04-10,fixed_decoder,511,cleaning,0
1,M2,2023-04-10,fixed_decoder,511,hallway,0
1,M2,2023-04-10,fixed_decoder,511,kitchen,0
1,M2,2023-04-10,fixed_decoder,511,nurse station,47
1,M2,2023-04-10,fixed_decoder,516,501,5
1,M2,2023-04-10,fixed_decoder,516,506,0
1,M2,2023-04-10,fixed_decoder,516,508,0
1,M2,2023-04-10,fixed_decoder,516,511,0
1,M2,2023-04-10,fixed_decoder,516,516,5
1,M2,2023-04-10,fixed_decoder,516,520,0
1,M2,2023-04-10,fixed_decoder,516,523,0
1,M2,2023-04-10,fixed_decoder,516,cafeteria,0
1,M2,2023-04-10,fixed_decoder,516,cleaning,0
1,M2,2023-04-10,fixed_decoder,516,hallway,0
1,M2,2023-04-10,fixed_decoder,516,kitchen,0
1,M2,2023-04-10,fixed_decoder,516,nurse station,0
1,M2,2023-04-10,fixed_decoder,520,501,0
1,M2,2023-04-10,fixed_decoder,520,506,0
1,M2,2023-04-10,fixed_decoder,520,508,0
1,M2,2023-04-10,fixed_decoder,520,511,0
1,M2,2023-04-10,fixed_decoder,520,516,0
1,M2,2023-04-10,fixed_decoder,520,520,30
1,M2,2023-04-10,fixed_decoder,520,523,0
1,M2,2023-04-10,fixed_decoder,520,cafeteria,0
1,M2,2023-04-10,fixed_decoder,520,cleaning,0
1,M2,2023-04-10,fixed_decoder,520,hallway,0
1,M2,2023-04-10,fixed_decoder,520,kitchen,0
1,M2,2023-04-10,fixed_decoder,520,nurse station,5
1,M2,2023-04-10,fixed_decoder,523,501,0
1,M2,2023-04-10,fixed_decoder,523,506,0
1,M2,2023-04-10,fixed_decoder,523,508,0
1,M2,2023-04-10,fixed_decoder,523,511,0
1,M2,2023-04-10,fixed_decoder,523,516,0
1,M2,2023-04-10,fixed_decoder,523,520,0
1,M2,2023-04-10,fixed_decoder,523,523,139
1,M2,2023-04-10,fixed_decoder,523,cafeteria,0
1,M2,2023-04-10,fixed_decoder,523,cleaning,0
1,M2,2023-04-10,fixed_decoder,523,hallway,0
1,M2,2023-04-10,fixed_decoder,523,kitchen,0
1,M2,2023-04-10,fixed_decoder,523,nurse station,12
1,M2,2023-04-10,fixed_decoder,cafeteria,501,0
1,M2,2023-04-10,fixed_decoder,cafeteria,506,0
1,M2,2023-04-10,fixed_decoder,cafeteria,508,0
1,M2,2023-04-10,fixed_decoder,cafeteria,511,0
1,M2,2023-04-10,fixed_decoder,cafeteria,516,0
1,M2,2023-04-10,fixed_decoder,cafeteria,520,0
1,M2,2023-04-10,fixed_decoder,cafeteria,523,36
1,M2,2023-04-10,fixed_decoder,cafeteria,cafeteria,252
1,M2,2023-04-10,fixed_decoder,cafeteria,cleaning,0
